id,timestamp,device_id,device_name,action,details
1,2025-07-19T21:35:31.893491,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
2,2025-07-19T21:35:34.693114,1,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
3,2025-07-19T21:50:05.376461,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",DEVICE_CREATED,Dispositivo criado na loja ID 1
4,2025-07-19T21:50:10.052212,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",DEVICE_ONLINE,Dispositivo voltou online
5,2025-07-19T22:19:17.814962,1,,DEVICE_DELETED,Dispositivo removido do sistema
6,2025-07-19T22:19:19.183646,2,,DEVICE_DELETED,Dispositivo removido do sistema
7,2025-07-19T22:39:10.433707,3,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
8,2025-07-19T22:39:13.816066,3,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
9,2025-07-19T23:37:35.889859,3,,DEVICE_DELETED,Dispositivo removido do sistema
10,2025-07-19T23:47:34.422834,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",DEVICE_CREATED,Dispositivo criado na loja ID 1
11,2025-07-19T23:47:38.523235,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",DEVICE_ONLINE,Dispositivo voltou online
12,2025-07-20T00:25:35.267180,5,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",DEVICE_CREATED,Dispositivo criado na loja ID 1
13,2025-07-20T00:25:38.107090,5,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36",DEVICE_ONLINE,Dispositivo voltou online
14,2025-07-20T03:46:41.879998,6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",DEVICE_CREATED,Dispositivo criado na loja ID 1
15,2025-07-20T03:46:45.029562,6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",DEVICE_ONLINE,Dispositivo voltou online
16,2025-07-20T03:49:04.326973,7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
17,2025-07-20T03:49:07.075609,7,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
18,2025-07-20T03:50:55.323630,8,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
19,2025-07-20T03:50:57.984677,8,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
20,2025-07-20T18:20:18.269710,4,,DEVICE_OFFLINE,Dispositivo ficou offline
21,2025-07-20T18:20:20.433779,5,,DEVICE_OFFLINE,Dispositivo ficou offline
22,2025-07-20T18:20:20.519248,5,,DEVICE_OFFLINE,Dispositivo ficou offline
23,2025-07-20T18:20:22.737011,6,,DEVICE_OFFLINE,Dispositivo ficou offline
24,2025-07-20T18:20:22.836740,6,,DEVICE_OFFLINE,Dispositivo ficou offline
25,2025-07-20T18:20:24.989652,7,,DEVICE_OFFLINE,Dispositivo ficou offline
26,2025-07-20T18:20:25.085221,7,,DEVICE_OFFLINE,Dispositivo ficou offline
27,2025-07-20T18:20:27.385638,8,,DEVICE_OFFLINE,Dispositivo ficou offline
28,2025-07-20T18:20:27.515954,8,,DEVICE_OFFLINE,Dispositivo ficou offline
29,2025-07-20T19:34:42.753597,9,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
30,2025-07-20T19:34:45.964605,9,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
31,2025-07-20T19:35:10.375140,10,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
32,2025-07-20T19:35:12.963860,10,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
33,2025-07-20T19:36:08.766249,6,,DEVICE_ONLINE,Dispositivo voltou online
34,2025-07-20T19:51:07.533699,11,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
35,2025-07-20T19:51:10.227758,11,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
36,2025-07-20T20:34:22.642101,12,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
37,2025-07-20T20:34:25.404765,12,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_ONLINE,Dispositivo voltou online
38,2025-07-20T20:34:31.949924,13,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.5 Mobile/15E148 Safari/604.1",DEVICE_CREATED,Dispositivo criado na loja ID 1
